Timestamp,Location,Age Group,Employment Status,  What is your primary source of income?  ,Monthly Income Range (KES),Access to Financial Advisory Services,Financial Literacy Level,Primary Financial Goals,Financial Challenges,Frequency of Seeking Financial Advice,Which financial advisory services have you used before?  ,Interest in AI-powered Chatbot,Preferred Chatbot Features,Trust Factors for Chatbots,Comfort with Digital Financial Planning,What concerns would you have about using a financial chatbot?  ,Additional Features Requested,Other Comments,Literacy Category,Income Ordinal,Income Category,Adoption Potential,User Segment
2/28/2025 22:34,Nairobi,18-24 Years,Unemployed,Salary/Wages,"Less Than 20,000",No,3,Retirement Planning,"High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Never,"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support",Strong Data Privacy And Security Policies,Very Comfortable,Accuracy Of Information,Forecasting,No,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 17:26,Nairobi,25-40 Years,Retired,Salary/Wages,"Less Than 20,000",No,2,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt","Lack Of Financial Knowledge, Limited Access To Financial Advisors",Rarely (Only When Needed),Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Accurate And Reliable Financial Advice,Not Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Unknown,When Is The Ai Coming Up Though,Low,20,Low,Neutral,Low Literacy - Low Income
2/27/2025 16:30,Rongo,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",No,3,"Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Very Comfortable,Data Privacy And Security,How To Improve Financially,No,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/2/2025 18:25,Nairobi,41-60 Years,Unemployed,Salary/Wages,"20,000-50,000",No,4,Investment Opportunities,"Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Frequently (Weekly Or Monthly),Investment Firms,Yes,Personalized Investment Advice,Availability Of Expert Human Support If Needed,Very Comfortable,Data Privacy And Security,Timely Financial Prompts When Investment Opportunities Are Available.,None,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:54,Nairobi,25-40 Years,Student,Salary/Wages,"100,001 And Above",No,3,Oii,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Accurate And Reliable Financial Advice,Very Comfortable,Accuracy Of Information,Unknown,Reduce Costs On Ai Related Apps,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/27/2025 14:39,Kakamega,25-40 Years,Employed (Part-Time),Salary/Wages,"100,001 And Above",No,3,Managing Debt,Limited Access To Financial Advisors,Never,Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Invitations For Physical Cmes And Consultancies,No Comment,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/25/2025 15:19,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,5,Investment Opportunities,Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Insurance Companies, Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts,","Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Accuracy Of Information,Learn How To Invest And Grow The Money I Have,No.,High,20,Low,Neutral,High Literacy - Low Income
3/1/2025 18:17,Kiambu,25-40 Years,Unemployed,Salary/Wages,"20,000-50,000",Yes,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts,",Easy-To-Use And Intuitive Interface,Not Comfortable,Data Privacy And Security,A Planner Sort Of Budgetary Tool.,Good Luck.,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:25,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"50,001-100,000",Yes,5,"Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Financial Knowledge,Never,"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Personalized Investment Advice,Availability Of Expert Human Support If Needed,Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Per Issue Advice,No,High,50,Low,Neutral,High Literacy - Low Income
3/1/2025 10:11,Vihiga,25-40 Years,Student,Salary/Wages,"50,001-100,000",Yes,3,"Investment Opportunities, Managing Debt",Limited Access To Financial Advisors,Never,Family/Friends/Informal Groups,Yes,Multilingual Support,Strong Data Privacy And Security Policies,Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Relevant Information And Knowledge,"A Crucial Feature For The Adoption Of The Financial Advisory Chatbot Would Be Its Seamless Ability To Escalate Complex Questions Or Sensitive Topics To A Qualified Human Advisor.  Users Need Assurance That They Can Easily Connect With A Financial Expert When Faced With Intricate Financial Decisions Or When The Chatbot Cannot Provide Adequate Information.  This Feature Ensures That Users Feel Supported And Valued, Fostering Trust And Confidence In The Chatbot'S Assistance While Allowing Them To Access Personalized Advice When Necessary. Without This Option, Users May Hesitate To Fully Engage With The Chatbot, Fearing Potential Information Gaps Or Inadequate Responses For Significant Financial Matters.",Medium,50,Low,Neutral,Medium Literacy - Low Income
3/1/2025 20:03,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"50,001-100,000",No,3,Saving For Education,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Never,"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",None,Unknown,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/28/2025 12:11,Uganda,25-40 Years,Retired,Family Support,"20,000-50,000",Yes,4,Investment Opportunities,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Investment Firms, Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Strong Data Privacy And Security Policies,Somewhat Comfortable,"Ease Of Understanding Responses, Trust In Automated Financial Advice",Voice Feature,Unknown,High,20,Low,Neutral,High Literacy - Low Income
3/2/2025 13:06,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"20,000-50,000",Yes,4,Investment Opportunities,Lack Of Capital,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Accuracy Of Information,Evidence Based Recommendations,None Right Now,High,20,Low,Neutral,High Literacy - Low Income
2/25/2025 14:18,Kapenguria,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,Investment Opportunities,Many Responsibilities,Never,"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",More Advice On Planning And Risk Identification,Thanks,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:22,Nairobi,25-40 Years,Employed (Part-Time),Salary/Wages,"100,001 And Above",No,3,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors, High Cost Of Advisory Services, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Insurance Companies, Mobile Money Services (E.G., M-Pesa)",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,Per Issue Advice,"If This Is Something That'S Getting Done, I'D Love To Try Out The Beta Phase Of This Project",Medium,100,Low,Neutral,Medium Literacy - Low Income
2/28/2025 18:14,Nairobi,25-40 Years,Employed (Full-Time),Family Support,"100,001 And Above",No,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Frequently (Weekly Or Monthly),Banks/Financial Institutions,Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Data Privacy And Security,More Advice On Planning And Risk Identification,Its Trusted,High,100,Low,Neutral,High Literacy - Low Income
3/2/2025 18:25,Machakos,25-40 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",Yes,5,Investment Opportunities,"Limited Access To Financial Advisors, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,A Link To A Human Financial Advisor Interaction.,Unknown,High,100,Low,Neutral,High Literacy - Low Income
2/25/2025 21:13,Nairobi,25-40 Years,Employed (Full-Time),Family Support,"20,000-50,000",No,4,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips",Availability Of Expert Human Support If Needed,Somewhat Comfortable,Trust In Automated Financial Advice,Per Issue Advice,Unknown,High,20,Low,Neutral,High Literacy - Low Income
2/28/2025 12:25,Kirinyaga,41-60 Years,Self-Employed,Salary/Wages,"20,000-50,000",No,3,Retirement Planning,"Lack Of Financial Knowledge, Lack Of Trust In Financial Advisors",Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Confidentiality,No,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 17:40,Nairobi,25-40 Years,Unemployed,Salary/Wages,"50,001-100,000",Yes,4,Retirement Planning,Lack Of Financial Knowledge,Rarely (Only When Needed),Unknown,Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Accuracy Of Information,Follow Up On The Efficiency Of The Advice Give,No,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 22:48,Uganda,25-40 Years,Self-Employed,Salary/Wages,"Less Than 20,000",No,4,Saving For Education,High Cost Of Advisory Services,Never,"Banks/Financial Institutions, Investment Firms, Mobile Money Services (E.G., M-Pesa)",Yes,"Budgeting And Expense Tracking, Real-Time Financial Tips","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",How To Spend Money,More Investment Plans,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 20:25,Nairobi,25-40 Years,Self-Employed,Business/Entrepreneurship,"100,001 And Above",No,3,Investment Opportunities,Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Somewhat Comfortable,Accuracy Of Information,"1.	Personalized Financial Planning: 
Ability To Create Tailored Financial Plans Based On Individual User Profiles, Goals, Risk Tolerance, And Financial Situations.
Integration With User Financial Accounts To Provide Real-Time Insights And Personalized Advice.
2.	Comprehensive Investment Guidance:
In-Depth Analysis Of Various Investment Options, Including Stocks, Bonds, Mutual Funds, And Etfs, With Market Trends And Performance Data.
Suggestions For Asset Allocation Based On Personal Risk Assessment And Financial Objectives.
3.	Goal-Based Financial Analytics:
Features That Allow Users To Set Specific Financial Goals (E.G., Retirement, Education Savings, Home Purchase) And Track Their Progress Over Time.
Visual Tools, Such As Charts And Graphs, To Help Illustrate Progress Toward These Goals.

4.	Tax Optimization Strategies:
Advice On Tax-Efficient Investment Strategies And Tax-Saving Options, Including Contributions To Retirement Accounts And Tax Credits.
Alerts For Tax Deadlines And Reminders For Necessary Documentation.

5.	Education And Resources:
Access To Informative Articles, Tutorials, And Videos Covering A Wide Range Of Financial Topics, From Budgeting To Investing And Retirement Planning.
Interactive Quizzes Or Assessments That Help Users Learn More About Their Financial Literacy.



6.	Ai-Powered Market Analysis:
Real-Time Market Analysis And Forecasts Driven By Ai Algorithms, Helping Users Make Informed Investment Decisions.
Alerts For Significant Market Events Or Trends That Might Impact User Portfolios.

7.	Integration With Financial Tools:
Seamless Integration With Budgeting Apps, Retirement Planners, And Other Financial Management Tools.
Compatibility With Various Financial Institutions For Easy Data Sharing And Updates.

8.	Regulatory And Compliance Updates:
Regular Updates On Changes In Regulations, Fiscal Policies, Tax Administration Laws, And Any Impacts They May Have On Personal Finance And Investment Strategies.
Alerts For Critical Changes That Users Need To Be Aware Of For Their Financial Planning.

9.	Mental Wellness Integration:
Support For Financial Wellness And Stress Management, Offering Resources And Advice On The Emotional Aspects Of Financial Decision-Making.
Modules On The Relationship Between Mental Well-Being And Personal Finance, Including Coping Strategies For Financial Stress.

10.	User Feedback Mechanism:
A System For Users To Provide Feedback On Chatbot Responses To Improve The Quality And Relevance Of Future Interactions.
Ability For Users To Rate Responses And Suggest Topics Of Interest.",Soft Loans,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/1/2025 11:07,Malaba,25-40 Years,Employed (Full-Time),Business/Entrepreneurship,"20,000-50,000",Yes,3,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Rarely (Only When Needed),"Banks/Financial Institutions, Investment Firms, Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Real-Time Financial Tips, Multilingual Support","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Very Comfortable,Ease Of Understanding Responses,Risk Assessment For Each Portfolio Of Investment,An Advisory Chatbot Would Come In Handy In Contemporary Finance,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:34,Uganda,25-40 Years,Employed (Full-Time),Family Support,"Less Than 20,000",No,4,"Retirement Planning, Managing Debt",Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts,","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,"Data Privacy And Security, Trust In Automated Financial Advice",Retraceable/Retrievable,This Is A Good Idea I Hope It Works Out,High,20,Low,Neutral,High Literacy - Low Income
2/27/2025 18:20,Kisumu,25-40 Years,Employed (Full-Time),Family Support,"20,000-50,000",Yes,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),Family/Friends/Informal Groups,Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Very Comfortable,Accuracy Of Information,Real Time Investment Opportunities As Well As Continuous Support,None,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/4/2025 11:56,Kitale,41-60 Years,Self-Employed,Salary/Wages,"20,000-50,000",Yes,4,Saving For Education,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms",Yes,Real-Time Financial Tips,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Availability Of Expert Human Support If Needed",Somewhat Comfortable,Accuracy Of Information,More Advice On Planning And Risk Identification,None Right Now,High,20,Low,Neutral,High Literacy - Low Income
3/1/2025 12:38,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"Less Than 20,000",No,3,Investment Opportunities,Lack Of Trust In Financial Advisors,Never,Investment Firms,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts",Strong Data Privacy And Security Policies,Very Comfortable,Data Privacy And Security,Evidence Based Recommendations,Succeed In Investing,Medium,20,Low,Neutral,Medium Literacy - Low Income
2/25/2025 19:02,Uganda,25-40 Years,Employed (Full-Time),Family Support,"20,000-50,000",No,3,"Retirement Planning, Investment Opportunities",High Cost Of Advisory Services,Rarely (Only When Needed),"Online Financial Platforms, Family/Friends/Informal Groups",Yes,Budgeting And Expense Tracking,"Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Trust In Automated Financial Advice,Testimonials,You Should Be Able To Suggest Real Time Job Opportunities Around Me,Medium,20,Low,Neutral,Medium Literacy - Low Income
3/2/2025 18:31,Kisumu,25-40 Years,Employed (Full-Time),Salary/Wages,Prefer Not To Say,Yes,3,"Saving For Education, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa)",Yes,"Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security",Integration With Different Operating Systems,This Would Be A Good Ai Powered Chatbot,Medium,0,,Neutral,Medium Literacy - nan Income
3/2/2025 18:31,Kakamega,25-40 Years,Unemployed,Salary/Wages,"100,001 And Above",No,3,Saving For Education,Lack Of Financial Knowledge,Rarely (Only When Needed),Insurance Companies,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts,","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",None From My End,You Should Be Able To Suggest Real Time Job Opportunities Around Me,Medium,100,Low,Neutral,Medium Literacy - Low Income
3/1/2025 9:14,Nairobi,25-40 Years,Unemployed,Family Support,"50,001-100,000",No,3,"Retirement Planning, Investment Opportunities, Managing Debt",Lack Of Trust In Financial Advisors,Frequently (Weekly Or Monthly),Family/Friends/Informal Groups,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Very Comfortable,Data Privacy And Security,Time Saving,No,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/25/2025 19:57,Nairobi,25-40 Years,Self-Employed,Salary/Wages,"50,001-100,000",No,4,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Frequently (Weekly Or Monthly),Investment Firms,Yes,Budgeting And Expense Tracking,Easy-To-Use And Intuitive Interface,Very Comfortable,Data Privacy And Security,Non Automated Responses,Unknown,High,50,Low,Neutral,High Literacy - Low Income
2/28/2025 18:14,Nairobi,25-40 Years,Self-Employed,Family Support,"20,000-50,000",Yes,3,Retirement Planning,Limited Access To Financial Advisors,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Insurance Companies, Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Availability Of Expert Human Support If Needed",Very Comfortable,Trust In Automated Financial Advice,Money Lending Services Geared Towards Achieving Specific Goal.,"This Is A Great Survey, I'M Optimistic It Will Be Helpful In Developing On The Development Of The Financial Advice Bot",Medium,20,Low,Neutral,Medium Literacy - Low Income
3/1/2025 23:08,Kakamega,41-60 Years,Student,Salary/Wages,"100,001 And Above",No,3,"Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,Data Privacy And Security,I Would Love Links To Job Opportunities For Extra Cash,No,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/27/2025 21:14,Murang'A,25-40 Years,Employed (Part-Time),Salary/Wages,"20,000-50,000",Yes,4,"Buying A Home, Retirement Planning, Investment Opportunities, Managing Debt",Limited Access To Financial Advisors,Rarely (Only When Needed),"Mobile Money Services (E.G., M-Pesa), Family/Friends/Informal Groups",No,"Personalized Investment Advice, Budgeting And Expense Tracking, Real-Time Financial Tips, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Livestock Farming Business,"If This Is Something That'S Getting Done, I'D Love To Try Out The Beta Phase Of This Project",High,20,Low,Neutral,High Literacy - Low Income
3/4/2025 11:56,Nairobi,41-60 Years,Student,Salary/Wages,Prefer Not To Say,No,4,Investment Opportunities,"Limited Access To Financial Advisors, High Cost Of Advisory Services",Frequently (Weekly Or Monthly),Unknown,Yes,"Personalized Investment Advice, Budgeting And Expense Tracking, Multilingual Support, Integration With My Existing Financial Accounts",Accurate And Reliable Financial Advice,Very Comfortable,Data Privacy And Security,Capability Of Creating Reminders,How To Track Financial Investments From The Descision Made From The Chatbot,High,0,,Neutral,High Literacy - nan Income
3/2/2025 18:25,Kisumu,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,5,Investment Opportunities,Lack Of Trust In Financial Advisors,Rarely (Only When Needed),Unknown,Yes,Budgeting And Expense Tracking,Accurate And Reliable Financial Advice,Somewhat Comfortable,Ease Of Understanding Responses,Follow Up On The Efficiency Of The Advice Give,No.,High,50,Low,Neutral,High Literacy - Low Income
2/25/2025 15:19,Nairobi,25-40 Years,Employed (Full-Time),Salary/Wages,"50,001-100,000",No,3,"Saving For Education, Buying A Home, Retirement Planning, Investment Opportunities",Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Banks/Financial Institutions, Family/Friends/Informal Groups",No,Real-Time Financial Tips,"Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface",Somewhat Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Nothing For Now,Financial  Investment,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/28/2025 22:22,Nairobi,25-40 Years,Employed (Full-Time),Family Support,"50,001-100,000",No,3,Saving For Education,Limited Access To Financial Advisors,Never,Unknown,Yes,Personalized Investment Advice,"Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice, Easy-To-Use And Intuitive Interface, Availability Of Expert Human Support If Needed",Very Comfortable,"Accuracy Of Information, Data Privacy And Security, Ease Of Understanding Responses, Trust In Automated Financial Advice",Support On Financial Issues,They Should Give Examples,Medium,50,Low,Neutral,Medium Literacy - Low Income
2/27/2025 20:25,Vihiga,25-40 Years,Employed (Full-Time),Family Support,"100,001 And Above",Yes,3,Investment Opportunities,Limited Access To Financial Advisors,Rarely (Only When Needed),"Banks/Financial Institutions, Insurance Companies, Investment Firms, Mobile Money Services (E.G., M-Pesa), Online Financial Platforms, Family/Friends/Informal Groups",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking","Strong Data Privacy And Security Policies, Accurate And Reliable Financial Advice",Very Comfortable,Data Privacy And Security,"1.	Personalized Financial Planning: 
Ability To Create Tailored Financial Plans Based On Individual User Profiles, Goals, Risk Tolerance, And Financial Situations.
Integration With User Financial Accounts To Provide Real-Time Insights And Personalized Advice.
2.	Comprehensive Investment Guidance:
In-Depth Analysis Of Various Investment Options, Including Stocks, Bonds, Mutual Funds, And Etfs, With Market Trends And Performance Data.
Suggestions For Asset Allocation Based On Personal Risk Assessment And Financial Objectives.
3.	Goal-Based Financial Analytics:
Features That Allow Users To Set Specific Financial Goals (E.G., Retirement, Education Savings, Home Purchase) And Track Their Progress Over Time.
Visual Tools, Such As Charts And Graphs, To Help Illustrate Progress Toward These Goals.

4.	Tax Optimization Strategies:
Advice On Tax-Efficient Investment Strategies And Tax-Saving Options, Including Contributions To Retirement Accounts And Tax Credits.
Alerts For Tax Deadlines And Reminders For Necessary Documentation.

5.	Education And Resources:
Access To Informative Articles, Tutorials, And Videos Covering A Wide Range Of Financial Topics, From Budgeting To Investing And Retirement Planning.
Interactive Quizzes Or Assessments That Help Users Learn More About Their Financial Literacy.



6.	Ai-Powered Market Analysis:
Real-Time Market Analysis And Forecasts Driven By Ai Algorithms, Helping Users Make Informed Investment Decisions.
Alerts For Significant Market Events Or Trends That Might Impact User Portfolios.

7.	Integration With Financial Tools:
Seamless Integration With Budgeting Apps, Retirement Planners, And Other Financial Management Tools.
Compatibility With Various Financial Institutions For Easy Data Sharing And Updates.

8.	Regulatory And Compliance Updates:
Regular Updates On Changes In Regulations, Fiscal Policies, Tax Administration Laws, And Any Impacts They May Have On Personal Finance And Investment Strategies.
Alerts For Critical Changes That Users Need To Be Aware Of For Their Financial Planning.

9.	Mental Wellness Integration:
Support For Financial Wellness And Stress Management, Offering Resources And Advice On The Emotional Aspects Of Financial Decision-Making.
Modules On The Relationship Between Mental Well-Being And Personal Finance, Including Coping Strategies For Financial Stress.

10.	User Feedback Mechanism:
A System For Users To Provide Feedback On Chatbot Responses To Improve The Quality And Relevance Of Future Interactions.
Ability For Users To Rate Responses And Suggest Topics Of Interest.",Good Feedback And Advisory On Improvement,Medium,100,Low,Neutral,Medium Literacy - Low Income
2/25/2025 18:47,Nairobi,18-24 Years,Employed (Full-Time),Salary/Wages,"100,001 And Above",Yes,4,Investment Opportunities,Lack Of Financial Knowledge,Frequently (Weekly Or Monthly),"Mobile Money Services (E.G., M-Pesa)",Yes,"Personalized Investment Advice, Budgeting And Expense Tracking",Easy-To-Use And Intuitive Interface,Very Comfortable,Data Privacy And Security,Unknown,Unknown,High,100,Low,Neutral,High Literacy - Low Income
2/28/2025 12:39,Uganda,25-40 Years,Employed (Full-Time),Family Support,"100,001 And Above",No,3,Investment Opportunities,"Lack Of Financial Knowledge, Limited Access To Financial Advisors",Rarely (Only When Needed),Banks/Financial Institutions,No,Real-Time Financial Tips,Availability Of Expert Human Support If Needed,Somewhat Comfortable,Data Privacy And Security,Money Lending Services Geared Towards Achieving Specific Goal.,Financial Knowledge And Information Is Most Welcome,Medium,100,Low,Neutral,Medium Literacy - Low Income
